,01.java,02.java,03.java,04.java,05.java,06.java,07.java,08.java,09.java,10.java,11.java,12.java
01.java,1.0,0.15609756097560976,0.22115384615384615,0.2980132450331126,0.23626373626373626,0.1592356687898089,0.291044776119403,0.1793103448275862,0.22321428571428573,0.40559440559440557,0.36538461538461536,0.36764705882352944
02.java,0.15609756097560976,1.0,0.41346153846153844,0.16556291390728478,0.14285714285714285,0.2611464968152866,0.35074626865671643,0.2896551724137931,0.375,0.1958041958041958,0.36538461538461536,0.18382352941176472
03.java,0.22115384615384615,0.41346153846153844,1.0,0.22115384615384615,0.2403846153846154,0.3942307692307692,0.6057692307692307,0.40384615384615385,0.3942307692307692,0.3076923076923077,0.33653846153846156,0.22115384615384615
04.java,0.2980132450331126,0.16556291390728478,0.22115384615384615,1.0,0.31125827814569534,0.1986754966887417,0.21641791044776118,0.23448275862068965,0.25892857142857145,0.3776223776223776,0.3173076923076923,0.36764705882352944
05.java,0.23626373626373626,0.14285714285714285,0.2403846153846154,0.31125827814569534,1.0,0.24203821656050956,0.22388059701492538,0.1793103448275862,0.25,0.35664335664335667,0.25961538461538464,0.38235294117647056
06.java,0.1592356687898089,0.2611464968152866,0.3942307692307692,0.1986754966887417,0.24203821656050956,1.0,0.3656716417910448,0.3310344827586207,0.4107142857142857,0.2097902097902098,0.40384615384615385,0.21323529411764705
07.java,0.291044776119403,0.35074626865671643,0.6057692307692307,0.21641791044776118,0.22388059701492538,0.3656716417910448,1.0,0.3582089552238806,0.41964285714285715,0.3582089552238806,0.5288461538461539,0.21641791044776118
08.java,0.1793103448275862,0.2896551724137931,0.40384615384615385,0.23448275862068965,0.1793103448275862,0.3310344827586207,0.3582089552238806,1.0,0.4642857142857143,0.20279720279720279,0.3942307692307692,0.25
09.java,0.22321428571428573,0.375,0.3942307692307692,0.25892857142857145,0.25,0.4107142857142857,0.41964285714285715,0.4642857142857143,1.0,0.2767857142857143,0.3942307692307692,0.38392857142857145
10.java,0.40559440559440557,0.1958041958041958,0.3076923076923077,0.3776223776223776,0.35664335664335667,0.2097902097902098,0.3582089552238806,0.20279720279720279,0.2767857142857143,1.0,0.47115384615384615,0.375
11.java,0.36538461538461536,0.36538461538461536,0.33653846153846156,0.3173076923076923,0.25961538461538464,0.40384615384615385,0.5288461538461539,0.3942307692307692,0.3942307692307692,0.47115384615384615,1.0,0.27884615384615385
12.java,0.36764705882352944,0.18382352941176472,0.22115384615384615,0.36764705882352944,0.38235294117647056,0.21323529411764705,0.21641791044776118,0.25,0.38392857142857145,0.375,0.27884615384615385,1.0
